Current, Voltage, Seconds
-2.19784,3.82175,06/16/2017 16:03:34.082826780
-2.19784,3.82143,06/16/2017 16:03:35.082312780
-2.19784,3.8211,06/16/2017 16:03:36.081846840
-2.19784,3.82078,06/16/2017 16:03:37.081399660
-2.19784,3.82044,06/16/2017 16:03:38.080913680
-2.19784,3.82012,06/16/2017 16:03:39.080422480
-2.19784,3.81979,06/16/2017 16:03:40.079971600
-2.19784,3.81946,06/16/2017 16:03:41.079492880
-2.19784,3.81914,06/16/2017 16:03:42.078968320
-2.19784,3.81881,06/16/2017 16:03:43.078467220
-2.19784,3.81848,06/16/2017 16:03:44.077951840
-2.19784,3.81815,06/16/2017 16:03:45.077457120
-2.19784,3.81783,06/16/2017 16:03:46.076931620
-2.19784,3.8175,06/16/2017 16:03:47.076426060
-2.19784,3.81718,06/16/2017 16:03:48.075923260
-2.19784,3.81685,06/16/2017 16:03:49.075436520
-2.19784,3.81653,06/16/2017 16:03:50.074945380
-2.19784,3.81621,06/16/2017 16:03:51.074426000
-2.19784,3.81588,06/16/2017 16:03:52.073882240
-2.19784,3.81555,06/16/2017 16:03:53.073349740
-2.19784,3.81523,06/16/2017 16:03:54.072830880
-2.19784,3.8149,06/16/2017 16:03:55.072344360
-2.19784,3.81458,06/16/2017 16:03:56.071885020
-2.19784,3.81427,06/16/2017 16:03:57.071374240
-2.19784,3.81394,06/16/2017 16:03:58.070866340
-2.19784,3.81361,06/16/2017 16:03:59.070378420
-2.19784,3.81327,06/16/2017 16:04:00.069893060
-2.19784,3.81295,06/16/2017 16:04:01.069386060
-2.19784,3.81264,06/16/2017 16:04:02.068913300
-2.19784,3.81231,06/16/2017 16:04:03.068382400
-2.19784,3.81199,06/16/2017 16:04:04.067883180
-2.19784,3.81167,06/16/2017 16:04:05.067382900
-2.19784,3.81135,06/16/2017 16:04:06.066885600
-2.19784,3.81102,06/16/2017 16:04:07.066407580
-2.19784,3.81071,06/16/2017 16:04:08.065950720
-2.19784,3.81038,06/16/2017 16:04:09.065480900
-2.19784,3.81006,06/16/2017 16:04:10.064997600
-2.19784,3.80974,06/16/2017 16:04:11.064534000
-2.19784,3.80942,06/16/2017 16:04:12.064048780
-2.19784,3.80909,06/16/2017 16:04:13.063590740
-2.19784,3.80877,06/16/2017 16:04:14.063127980
-2.19784,3.80845,06/16/2017 16:04:15.062634640
-2.19784,3.80812,06/16/2017 16:04:16.062126380
-2.19784,3.80781,06/16/2017 16:04:17.061613600
-2.19784,3.80749,06/16/2017 16:04:18.061093160
-2.19784,3.80716,06/16/2017 16:04:19.060581000
-2.19784,3.80685,06/16/2017 16:04:20.060082140
-2.19784,3.80653,06/16/2017 16:04:21.059571140
-2.19784,3.8062,06/16/2017 16:04:22.059061880
-2.19784,3.80588,06/16/2017 16:04:23.058567700
-2.19784,3.80557,06/16/2017 16:04:24.058046360
-2.19784,3.80525,06/16/2017 16:04:25.057519020
-2.19784,3.80492,06/16/2017 16:04:26.057018080
-2.19784,3.8046,06/16/2017 16:04:27.056512200
-2.19784,3.80428,06/16/2017 16:04:28.055992380
-2.19784,3.80396,06/16/2017 16:04:29.055481760
-2.19784,3.80363,06/16/2017 16:04:30.054970780
-2.19784,3.80333,06/16/2017 16:04:31.054459140
-2.19784,3.803,06/16/2017 16:04:32.053973080
-2.19784,3.80267,06/16/2017 16:04:33.053530360
-2.19784,3.80235,06/16/2017 16:04:34.053034780
-2.19784,3.80203,06/16/2017 16:04:35.052531660
-2.19784,3.80173,06/16/2017 16:04:36.052002740
-2.19784,3.8014,06/16/2017 16:04:37.051489700
-2.19784,3.80108,06/16/2017 16:04:38.050979780
-2.19784,3.80076,06/16/2017 16:04:39.050475500
-2.19784,3.80044,06/16/2017 16:04:40.050001420
-2.19785,3.80012,06/16/2017 16:04:41.049506720
-2.19784,3.79979,06/16/2017 16:04:42.049044080
-2.19784,3.79947,06/16/2017 16:04:43.048574120
-2.19784,3.79915,06/16/2017 16:04:44.048119120
-2.19784,3.79884,06/16/2017 16:04:45.047682340
-2.19785,3.79852,06/16/2017 16:04:46.048453680
-2.19785,3.79821,06/16/2017 16:04:47.047980300
-2.19784,3.79787,06/16/2017 16:04:48.047506940
-2.19785,3.79756,06/16/2017 16:04:49.046977280
