nIteration:	Current:	Voltage:	Time:
123	1.1000669003	3.7888448238	06/15/2017 05:01:09.081008820
124	1.1000692844	3.7889893055	06/15/2017 05:01:10.080379380
125	1.1000740528	3.7891364098	06/15/2017 05:01:11.079729100
126	1.1000771523	3.789277792	06/15/2017 05:01:12.079118860
127	1.1000725031	3.7894151211	06/15/2017 05:01:13.078459600
128	1.1000728607	3.7895479202	06/15/2017 05:01:14.077817720
129	1.100074172	3.7896990776	06/15/2017 05:01:15.077198940
130	1.1000760794	3.7898421288	06/15/2017 05:01:16.076561880
131	1.1000730991	3.78997612	06/15/2017 05:01:17.075903240
132	1.1000753641	3.7901084423	06/15/2017 05:01:18.075288640
133	1.1000794172	3.7902491093	06/15/2017 05:01:19.074660400
134	1.1000739336	3.7903790474	06/15/2017 05:01:20.074039280
135	1.100076437	3.7905185223	06/15/2017 05:01:21.073403320
136	1.1000725031	3.7906582355	06/15/2017 05:01:22.072784960
137	1.1000753641	3.7907931805	06/15/2017 05:01:23.072164620
138	1.1000715494	3.7909209728	06/15/2017 05:01:24.071536500
139	1.1000759602	3.791056633	06/15/2017 05:01:25.070904440
140	1.1000730991	3.7911922932	06/15/2017 05:01:26.070263700
141	1.1000698805	3.791321516	06/15/2017 05:01:27.069636660
142	1.1000698805	3.7914483547	06/15/2017 05:01:28.068995100
143	1.1000717878	3.7915797234	06/15/2017 05:01:29.068373420
144	1.1000722647	3.7917101383	06/15/2017 05:01:30.067766580
145	1.1000714302	3.7918393612	06/15/2017 05:01:31.067162300
146	1.100070715	3.7919669151	06/15/2017 05:01:32.066526920
147	1.1000680923	3.7921037674	06/15/2017 05:01:33.065876980
148	1.1000702381	3.7922291756	06/15/2017 05:01:34.065249860
149	1.1000676155	3.7923648357	06/15/2017 05:01:35.064593920
150	1.1000672579	3.7924845219	06/15/2017 05:01:36.063983900
151	1.1000652313	3.7926089764	06/15/2017 05:01:37.063352560
152	1.100069046	3.7927289009	06/15/2017 05:01:38.062731580
153	1.1000642776	3.7928583622	06/15/2017 05:01:39.062129840
154	1.1000605822	3.7929859161	06/15/2017 05:01:40.061469000
155	1.100065589	3.7931096554	06/15/2017 05:01:41.060820820
156	1.1000738144	3.7932357788	06/15/2017 05:01:42.060188500
