Iteration:	Current:	Voltage:	Time:
233	1.1000671387	3.7906012535	06/14/2017 23:25:32.738369020
234	1.1000680923	3.7907013893	06/14/2017 23:25:33.737693400
235	1.1000652313	3.7907989025	06/14/2017 23:25:34.737019420
236	1.1000680923	3.790899992	06/14/2017 23:25:35.736309140
237	1.1000614166	3.7909946442	06/14/2017 23:25:36.735633400
238	1.100063324	3.7910878658	06/14/2017 23:25:37.734977740
239	1.10006392	3.7911837101	06/14/2017 23:25:38.734273400
240	1.1000636816	3.7912743092	06/14/2017 23:25:39.733607500
241	1.1000663042	3.7913696766	06/14/2017 23:25:40.732933640
242	1.1000679731	3.7914686203	06/14/2017 23:25:41.732332580
243	1.10006392	3.7915556431	06/14/2017 23:25:42.731682280
244	1.1000641584	3.7916519642	06/14/2017 23:25:43.730992100
245	1.100066781	3.7917506695	06/14/2017 23:25:44.730309720
246	1.1000645161	3.7918498516	06/14/2017 23:25:45.729639300
247	1.1000672579	3.7919399738	06/14/2017 23:25:46.729015980
248	1.1000654697	3.7920386791	06/14/2017 23:25:47.728331700
249	1.1000622511	3.7921273708	06/14/2017 23:25:48.727680960
250	1.1000669003	3.7922201157	06/14/2017 23:25:49.727021780
251	1.1000612974	3.7923183441	06/14/2017 23:25:50.726348620
252	1.1000624895	3.7924067974	06/14/2017 23:25:51.725712120
253	1.1000628471	3.7924976349	06/14/2017 23:25:52.725054360
254	1.1000660658	3.792596817	06/14/2017 23:25:53.724374740
255	1.1000630856	3.7926888466	06/14/2017 23:25:54.723737440
256	1.1000622511	3.7927856445	06/14/2017 23:25:55.723058900
257	1.1000643969	3.7928819656	06/14/2017 23:25:56.722397280
258	1.1000657082	3.7929749489	06/14/2017 23:25:57.721720760
259	1.100069046	3.7930674553	06/14/2017 23:25:58.721044040
260	1.1000701189	3.7931654453	06/14/2017 23:25:59.720349260
261	1.100066185	3.7932524681	06/14/2017 23:26:00.719673020
262	1.1000651121	3.7933423519	06/14/2017 23:26:01.719019240
263	1.1000629663	3.7934374809	06/14/2017 23:26:02.718378880
264	1.1000648737	3.7935349941	06/14/2017 23:26:03.717681560
265	1.1000658274	3.7936227322	06/14/2017 23:26:04.717043040
266	1.1000609398	3.7937161922	06/14/2017 23:26:05.716407160
267	1.100066185	3.7938058376	06/14/2017 23:26:06.715751020
268	1.1000664234	3.7939012051	06/14/2017 23:26:07.715100300
269	1.1000728607	3.7940001488	06/14/2017 23:26:08.714431680
270	1.1000670195	3.7940888405	06/14/2017 23:26:09.713735780
271	1.1000660658	3.7941727638	06/14/2017 23:26:10.713102460
272	1.1000732183	3.7942686081	06/14/2017 23:26:11.712410580
273	1.1000670195	3.7943632603	06/14/2017 23:26:12.711722780
274	1.1000642776	3.7944486141	06/14/2017 23:26:13.711033440
275	1.1000617743	3.7945406437	06/14/2017 23:26:14.710362120
276	1.1000701189	3.7946441174	06/14/2017 23:26:15.709711220
277	1.1000589132	3.794728756	06/14/2017 23:26:16.709309680
278	1.1000627279	3.7948217392	06/14/2017 23:26:17.708635900
279	1.1000680923	3.7949159145	06/14/2017 23:26:18.707957420
280	1.1000660658	3.7950108051	06/14/2017 23:26:19.707284940
281	1.100065589	3.795093298	06/14/2017 23:26:20.706675640
282	1.1000678539	3.7951819897	06/14/2017 23:26:21.706005300
283	1.1000628471	3.7952773571	06/14/2017 23:26:22.705332100
284	1.1000701189	3.795363903	06/14/2017 23:26:23.704676060
285	1.1000670195	3.7954595089	06/14/2017 23:26:24.704034560
286	1.1000711918	3.7955574989	06/14/2017 23:26:25.703353020
287	1.100066781	3.7956414223	06/14/2017 23:26:26.702694080
288	1.1000670195	3.7957277298	06/14/2017 23:26:27.702021140
289	1.1000688076	3.7958247662	06/14/2017 23:26:28.701358900
290	1.1000671387	3.7959156036	06/14/2017 23:26:29.700727000
291	1.1000694036	3.7960085869	06/14/2017 23:26:30.700118020
292	1.1000715494	3.7960927486	06/14/2017 23:26:31.699453820
293	1.1000715494	3.7961847782	06/14/2017 23:26:32.698777160
294	1.1000722647	3.796274662	06/14/2017 23:26:33.698102380
295	1.1000722647	3.7963650227	06/14/2017 23:26:34.697431780
296	1.100069046	3.7964618206	06/14/2017 23:26:35.696748020
297	1.1000694036	3.7965497971	06/14/2017 23:26:36.696080300
298	1.1000642776	3.7966370583	06/14/2017 23:26:37.695395900
299	1.1000680923	3.7967288494	06/14/2017 23:26:38.694703560
300	1.1000665426	3.7968165874	06/14/2017 23:26:39.694034060
301	1.1000682116	3.7969067097	06/14/2017 23:26:40.693352160
302	1.1000725031	3.7970004082	06/14/2017 23:26:41.692650640
303	1.1000729799	3.7970900536	06/14/2017 23:26:42.691942520
304	1.1000771523	3.7971816063	06/14/2017 23:26:43.691302500
305	1.1000694036	3.7972717285	06/14/2017 23:26:44.690664740
306	1.1000717878	3.7973644733	06/14/2017 23:26:45.689960000
307	1.1000726223	3.7974443436	06/14/2017 23:26:46.689316120
308	1.1000742912	3.7975444794	06/14/2017 23:26:47.688641180
309	1.1000680923	3.7976343632	06/14/2017 23:26:48.687955180
310	1.1000760794	3.7977223396	06/14/2017 23:26:49.687314680
311	1.1000736952	3.7978115082	06/14/2017 23:26:50.686640800
312	1.1000630856	3.797898531	06/14/2017 23:26:51.685955600
313	1.1000697613	3.7979888916	06/14/2017 23:26:52.685285740
314	1.1000653505	3.7980766296	06/14/2017 23:26:53.684659840
315	1.1000677347	3.7981700897	06/14/2017 23:26:54.683994140
316	1.1000680923	3.7982609272	06/14/2017 23:26:55.683320500
317	1.1000670195	3.7983486652	06/14/2017 23:26:56.682658360
318	1.1000634432	3.7984378338	06/14/2017 23:26:57.681970580
319	1.1000615358	3.7985258102	06/14/2017 23:26:58.681309520
320	1.1000648737	3.7986199856	06/14/2017 23:26:59.680647560
321	1.100065589	3.7987091541	06/14/2017 23:27:00.679977900
322	1.1000643969	3.7987961769	06/14/2017 23:27:01.679306820
323	1.100061655	3.7988855839	06/14/2017 23:27:02.678653080
324	1.1000609398	3.7989697456	06/14/2017 23:27:03.678000500
325	1.1000617743	3.799063921	06/14/2017 23:27:04.677321820
326	1.1000716686	3.79915905	06/14/2017 23:27:05.676647680
327	1.1000677347	3.7992434502	06/14/2017 23:27:06.675955500
328	1.1000672579	3.7993342876	06/14/2017 23:27:07.675306700
329	1.1000689268	3.7994225025	06/14/2017 23:27:08.674757140
330	1.1000665426	3.7995095253	06/14/2017 23:27:09.674088400
331	1.1000642776	3.7995998859	06/14/2017 23:27:10.673407620
332	1.1000688076	3.7996873856	06/14/2017 23:27:11.672697540
333	1.1000660658	3.7997765541	06/14/2017 23:27:12.672080720
334	1.1000643969	3.7998657227	06/14/2017 23:27:13.671393640
335	1.1000643969	3.7999522686	06/14/2017 23:27:14.670704600
336	1.1000654697	3.8000404835	06/14/2017 23:27:15.670037580
337	1.1000646353	3.8001379967	06/14/2017 23:27:16.669365840
338	1.1000704765	3.8002302647	06/14/2017 23:27:17.668715880
339	1.1000620127	3.8003156185	06/14/2017 23:27:18.668017460
340	1.1000643969	3.800396204	06/14/2017 23:27:19.667360860
341	1.1000727415	3.8004937172	06/14/2017 23:27:20.666710140
342	1.1000671387	3.80058074	06/14/2017 23:27:21.666036320
343	1.1000715494	3.8006672859	06/14/2017 23:27:22.665397420
344	1.1000709534	3.8007612228	06/14/2017 23:27:23.664740840
345	1.1000689268	3.8008494377	06/14/2017 23:27:24.664067960
346	1.1000666618	3.8009352684	06/14/2017 23:27:25.663415160
347	1.1000674963	3.801027298	06/14/2017 23:27:26.662792000
348	1.1000632048	3.8011171818	06/14/2017 23:27:27.662144440
349	1.1000638008	3.8012106419	06/14/2017 23:27:28.661472780
350	1.1000602245	3.8012928963	06/14/2017 23:27:29.660814680
351	1.1000612974	3.8013830185	06/14/2017 23:27:30.660155180
352	1.1000663042	3.801479578	06/14/2017 23:27:31.659479160
353	1.1000663042	3.8015663624	06/14/2017 23:27:32.658839000
354	1.1000652313	3.801659584	06/14/2017 23:27:33.658179260
355	1.1000682116	3.801753521	06/14/2017 23:27:34.657499380
356	1.1000760794	3.8018391132	06/14/2017 23:27:35.656862300
357	1.1000618935	3.8019206524	06/14/2017 23:27:36.656185620
358	1.100061655	3.8020153046	06/14/2017 23:27:37.655501940
359	1.1000621319	3.8021013737	06/14/2017 23:27:38.654853580
360	1.1000636816	3.8021936417	06/14/2017 23:27:39.654168220
361	1.1000646353	3.8022873402	06/14/2017 23:27:40.653516340
362	1.1000628471	3.8023786545	06/14/2017 23:27:41.652881700
363	1.100066185	3.8024625778	06/14/2017 23:27:42.652235580
364	1.1000617743	3.8025565147	06/14/2017 23:27:43.651583640
365	1.1000597477	3.8026416302	06/14/2017 23:27:44.650897240
366	1.1000659466	3.8027427197	06/14/2017 23:27:45.650237920
367	1.1000629663	3.8028225899	06/14/2017 23:27:46.649603480
368	1.1000670195	3.8029184341	06/14/2017 23:27:47.648903160
369	1.100065589	3.8030004501	06/14/2017 23:27:48.648261640
370	1.1000590324	3.8030936718	06/14/2017 23:27:49.647596580
371	1.1000679731	3.8031849861	06/14/2017 23:27:50.646930860
