Iteration:	Current:	Voltage:	Time:
Iteration: 	256	 current: 	0.14809775352	 voltage: 	4.2000050545
Iteration: 	257	 current: 	0.14786097407	 voltage: 	4.2000136375
Iteration: 	258	 current: 	0.14759394526	 voltage: 	4.2000079155
Iteration: 	259	 current: 	0.14739345014	 voltage: 	4.2000126839
Iteration: 	260	 current: 	0.14714814723	 voltage: 	4.2000050545
Iteration: 	261	 current: 	0.14692081511	 voltage: 	4.2000126839
Iteration: 	262	 current: 	0.1466716677	 voltage: 	4.2000079155
Iteration: 	263	 current: 	0.14636141062	 voltage: 	4.2000050545
Iteration: 	264	 current: 	0.14616298676	 voltage: 	4.2000021935
Iteration: 	265	 current: 	0.14594916999	 voltage: 	4.2000098228
Iteration: 	266	 current: 	0.14565086365	 voltage: 	4.2000112534
Iteration: 	267	 current: 	0.1454731524	 voltage: 	4.2000126839
Iteration: 	268	 current: 	0.14522662759	 voltage: 	4.2000069618
Iteration: 	269	 current: 	0.1450496316	 voltage: 	4.2000069618
Iteration: 	270	 current: 	0.14475464821	 voltage: 	4.2000102997
Iteration: 	271	 current: 	0.14451672137	 voltage: 	4.2000150681
Iteration: 	272	 current: 	0.14437939227	 voltage: 	4.200009346
Iteration: 	273	 current: 	0.14405824244	 voltage: 	4.2000126839
Iteration: 	274	 current: 	0.14380939305	 voltage: 	4.2000136375
Iteration: 	275	 current: 	0.14348345995	 voltage: 	4.2000079155
Iteration: 	276	 current: 	0.14339742064	 voltage: 	4.2000193596
Iteration: 	277	 current: 	0.14313717186	 voltage: 	4.2000150681
Iteration: 	278	 current: 	0.14293910563	 voltage: 	4.200009346
Iteration: 	279	 current: 	0.14264792204	 voltage: 	4.2000102997
Iteration: 	280	 current: 	0.14246979356	 voltage: 	4.2000131607
Iteration: 	281	 current: 	0.14218594134	 voltage: 	4.2000117302
Iteration: 	282	 current: 	0.14203944802	 voltage: 	4.200012207
Iteration: 	283	 current: 	0.14170330763	 voltage: 	4.2000188828
Iteration: 	284	 current: 	0.14142024517	 voltage: 	4.2000145912
Iteration: 	285	 current: 	0.14124955237	 voltage: 	4.2000098228
Iteration: 	286	 current: 	0.14101880789	 voltage: 	4.2000145912
Iteration: 	287	 current: 	0.14079645276	 voltage: 	4.200009346
Iteration: 	288	 current: 	0.14068648219	 voltage: 	4.2000112534
Iteration: 	289	 current: 	0.14044012129	 voltage: 	4.2000126839
Iteration: 	290	 current: 	0.14013807476	 voltage: 	4.2000188828
Iteration: 	291	 current: 	0.13992898166	 voltage: 	4.2000150681
Iteration: 	292	 current: 	0.13964310288	 voltage: 	4.200009346
Iteration: 	293	 current: 	0.13945516944	 voltage: 	4.200006485
Iteration: 	294	 current: 	0.13917191327	 voltage: 	4.2000021935
Iteration: 	295	 current: 	0.13902951777	 voltage: 	4.2000145912
Iteration: 	296	 current: 	0.13882225752	 voltage: 	4.200003624
Iteration: 	297	 current: 	0.13853257895	 voltage: 	4.2000155449
Iteration: 	298	 current: 	0.13839861751	 voltage: 	4.2000117302
Iteration: 	299	 current: 	0.13807114959	 voltage: 	4.2000088692
Iteration: 	300	 current: 	0.13785253465	 voltage: 	4.200012207
Iteration: 	301	 current: 	0.13767948747	 voltage: 	4.2000088692
Iteration: 	302	 current: 	0.13744454086	 voltage: 	4.2000117302
Iteration: 	303	 current: 	0.13724975288	 voltage: 	4.2000160217
Iteration: 	304	 current: 	0.13698087633	 voltage: 	4.2000112534
Iteration: 	305	 current: 	0.13684922457	 voltage: 	4.2000131607
Iteration: 	306	 current: 	0.13664211333	 voltage: 	4.2000107765
Iteration: 	307	 current: 	0.13632422686	 voltage: 	4.2000050545
Iteration: 	308	 current: 	0.13615426421	 voltage: 	4.2000074387
Iteration: 	309	 current: 	0.13592599332	 voltage: 	4.2000107765
Iteration: 	310	 current: 	0.13576617837	 voltage: 	4.2000164986
Iteration: 	311	 current: 	0.13553266227	 voltage: 	4.2000150681
Iteration: 	312	 current: 	0.1352866441	 voltage: 	4.200009346
Iteration: 	313	 current: 	0.13514606655	 voltage: 	4.2000141144
Iteration: 	314	 current: 	0.1349080503	 voltage: 	4.2000188828
Iteration: 	315	 current: 	0.13466343284	 voltage: 	4.200006485
Iteration: 	316	 current: 	0.13451842964	 voltage: 	4.2000126839
Iteration: 	317	 current: 	0.13424213231	 voltage: 	4.2000055313
Iteration: 	318	 current: 	0.13408446312	 voltage: 	4.2000141144
Iteration: 	319	 current: 	0.13378025591	 voltage: 	4.2000079155
Iteration: 	320	 current: 	0.13360826671	 voltage: 	4.200012207
Iteration: 	321	 current: 	0.13346831501	 voltage: 	4.2000107765
Iteration: 	322	 current: 	0.13319002092	 voltage: 	4.2000107765
Iteration: 	323	 current: 	0.13304099441	 voltage: 	4.200009346
Iteration: 	324	 current: 	0.13275270164	 voltage: 	4.2000141144
Iteration: 	325	 current: 	0.13260953128	 voltage: 	4.2000074387
Iteration: 	326	 current: 	0.13240604103	 voltage: 	4.2000145912
Iteration: 	327	 current: 	0.13224667311	 voltage: 	4.2000160217
Iteration: 	328	 current: 	0.13201290369	 voltage: 	4.2000136375
Iteration: 	329	 current: 	0.13171245158	 voltage: 	4.2000098228
Iteration: 	330	 current: 	0.13157752156	 voltage: 	4.2000060081
Iteration: 	331	 current: 	0.1313881129	 voltage: 	4.2000131607
Iteration: 	332	 current: 	0.13122861087	 voltage: 	4.2000136375
Iteration: 	333	 current: 	0.13102902472	 voltage: 	4.200012207
Iteration: 	334	 current: 	0.13086426258	 voltage: 	4.2000098228
Iteration: 	335	 current: 	0.1305744946	 voltage: 	4.2000150681
Iteration: 	336	 current: 	0.13042627275	 voltage: 	4.2000203133
Iteration: 	337	 current: 	0.13017256558	 voltage: 	4.2000098228
Iteration: 	338	 current: 	0.13005378842	 voltage: 	4.2000174522
Iteration: 	339	 current: 	0.12988063693	 voltage: 	4.2000098228
Iteration: 	340	 current: 	0.12973408401	 voltage: 	4.2000179291
Iteration: 	341	 current: 	0.12949369848	 voltage: 	4.2000236511
Iteration: 	342	 current: 	0.1292669028	 voltage: 	4.2000141144
Iteration: 	343	 current: 	0.12893347442	 voltage: 	4.2000145912
Iteration: 	344	 current: 	0.128783077	 voltage: 	4.2000107765
Iteration: 	345	 current: 	0.12868334353	 voltage: 	4.2000141144
Iteration: 	346	 current: 	0.12851825356	 voltage: 	4.2000131607
Iteration: 	347	 current: 	0.12817338109	 voltage: 	4.2000098228
Iteration: 	348	 current: 	0.12805506587	 voltage: 	4.2000174522
