Iteration:	Current:	Voltage:	Time:
133	1.1000695229	3.7708556652	06/15/2017 02:12:23.073008280
134	1.1000717878	3.7709937096	06/15/2017 02:12:24.072357880
135	1.1000769138	3.7711288929	06/15/2017 02:12:25.071730920
136	1.10006845	3.771261692	06/15/2017 02:12:26.071082620
137	1.1000692844	3.7713899612	06/15/2017 02:12:27.070416940
138	1.1000708342	3.7715260983	06/15/2017 02:12:28.069753560
139	1.1000659466	3.7716629505	06/15/2017 02:12:29.069070240
140	1.1000744104	3.7717983723	06/15/2017 02:12:30.068441460
141	1.1000728607	3.7719295025	06/15/2017 02:12:31.067765900
142	1.1000738144	3.7720615864	06/15/2017 02:12:32.067089600
143	1.10006392	3.7721889019	06/15/2017 02:12:33.066463660
144	1.1000685692	3.7723150253	06/15/2017 02:12:34.065787720
145	1.1000736952	3.7724456787	06/15/2017 02:12:35.065154000
146	1.1000709534	3.772572279	06/15/2017 02:12:36.064486060
147	1.1000708342	3.7727015018	06/15/2017 02:12:37.063815060
148	1.100069046	3.7728180885	06/15/2017 02:12:38.063179140
149	1.1000699997	3.7729530334	06/15/2017 02:12:39.062538360
150	1.1000698805	3.7730767727	06/15/2017 02:12:40.061849900
151	1.1000720263	3.7732126713	06/15/2017 02:12:41.061227940
152	1.1000716686	3.7733297348	06/15/2017 02:12:42.060611440
153	1.1000686884	3.773450613	06/15/2017 02:12:43.059942480
154	1.1000648737	3.7735798359	06/15/2017 02:12:44.059305440
155	1.1000703573	3.7736992836	06/15/2017 02:12:45.058609160
156	1.100076437	3.7738285065	06/15/2017 02:12:46.057930960
157	1.1000714302	3.77394557	06/15/2017 02:12:47.057274000
158	1.1000722647	3.7740740776	06/15/2017 02:12:48.056665540
159	1.1000664234	3.7741868496	06/15/2017 02:12:49.056070960
160	1.1000695229	3.7743132114	06/15/2017 02:12:50.055428880
161	1.1000744104	3.7744338512	06/15/2017 02:12:51.054772440
162	1.100076437	3.7745563984	06/15/2017 02:12:52.054143600
163	1.100071311	3.7746713161	06/15/2017 02:12:53.053506880
164	1.1000711918	3.7747879028	06/15/2017 02:12:54.052863580
165	1.1000708342	3.7749023438	06/15/2017 02:12:55.052174900
166	1.1000710726	3.7750282288	06/15/2017 02:12:56.051552860
167	1.100077033	3.7751476765	06/15/2017 02:12:57.050877280
168	1.1000733376	3.7752664089	06/15/2017 02:12:58.050195760
169	1.1000717878	3.7753772736	06/15/2017 02:12:59.049558100
170	1.1000703573	3.7755017281	06/15/2017 02:13:00.048880440
171	1.1000752449	3.7756106853	06/15/2017 02:13:01.048507580
172	1.1000756025	3.775724411	06/15/2017 02:13:02.047850200
173	1.1000772715	3.7758438587	06/15/2017 02:13:03.047196700
174	1.1000753641	3.7759580612	06/15/2017 02:13:04.046520200
175	1.1000721455	3.7760732174	06/15/2017 02:13:05.045870100
176	1.1000721455	3.7761852741	06/15/2017 02:13:06.045174080
177	1.100076437	3.7762975693	06/15/2017 02:13:07.044504020
178	1.1000730991	3.7764115334	06/15/2017 02:13:08.043849800
179	1.1000716686	3.7765185833	06/15/2017 02:13:09.043195160
180	1.1000717878	3.7766318321	06/15/2017 02:13:10.042503960
181	1.1000717878	3.776747942	06/15/2017 02:13:11.041819640
182	1.1000720263	3.7768559456	06/15/2017 02:13:12.041175140
183	1.1000726223	3.7769691944	06/15/2017 02:13:13.040492540
184	1.1000685692	3.7770752907	06/15/2017 02:13:14.039819300
185	1.1000703573	3.7771766186	06/15/2017 02:13:15.039181500
186	1.1000714302	3.7772982121	06/15/2017 02:13:16.038488200
187	1.1000678539	3.7774055004	06/15/2017 02:13:17.037920780
188	1.1000691652	3.7775166035	06/15/2017 02:13:18.037278000
189	1.1000677347	3.7776265144	06/15/2017 02:13:19.036587780
190	1.1000745296	3.7777309418	06/15/2017 02:13:20.035948420
191	1.1000691652	3.7778420448	06/15/2017 02:13:21.035282420
192	1.1000703573	3.7779500484	06/15/2017 02:13:22.034622820
193	1.1000728607	3.7780475616	06/15/2017 02:13:23.033965700
194	1.1000708342	3.7781565189	06/15/2017 02:13:24.033320660
195	1.1000775099	3.7782659531	06/15/2017 02:13:25.032702920
196	1.1000688076	3.7783703804	06/15/2017 02:13:26.032122560
197	1.1000744104	3.7784767151	06/15/2017 02:13:27.031437600
198	1.1000698805	3.7785811424	06/15/2017 02:13:28.030813380
199	1.1000726223	3.7786867619	06/15/2017 02:13:29.030168640
200	1.100071907	3.7787940502	06/15/2017 02:13:30.029490660
201	1.1000670195	3.7788908482	06/15/2017 02:13:31.028860620
202	1.1000778675	3.7790002823	06/15/2017 02:13:32.028231040
203	1.1000709534	3.779106617	06/15/2017 02:13:33.027593840
204	1.1000722647	3.7792024612	06/15/2017 02:13:34.026970720
205	1.1000704765	3.7793095112	06/15/2017 02:13:35.026313240
206	1.1000680923	3.7794146538	06/15/2017 02:13:36.025623220
207	1.100075841	3.7795147896	06/15/2017 02:13:37.024980240
208	1.1000744104	3.779624939	06/15/2017 02:13:38.024320780
209	1.1000651121	3.7797207832	06/15/2017 02:13:39.023636080
210	1.1000676155	3.7798221111	06/15/2017 02:13:40.022989660
211	1.1000643969	3.7799210548	06/15/2017 02:13:41.022315820
212	1.1000710726	3.7800245285	06/15/2017 02:13:42.021615320
213	1.1000732183	3.7801241875	06/15/2017 02:13:43.020951320
