Iteration:	Current:	Voltage:	Time:
147	-5.8540472984	3.527099371	06/15/2017 04:11:29.686032560
148	-5.640663147	3.5173556805	06/15/2017 04:11:30.686378320
149	-3.0889670849	3.7108528614	06/15/2017 04:11:31.686730560
150	-1.3627111912	3.8599228859	06/15/2017 04:11:32.687041120
151	-6.4185695648	3.4818108082	06/15/2017 04:11:33.687523820
152	-2.1435046196	3.7778537273	06/15/2017 04:11:34.687850560
153	-1.7524805069	3.8343720436	06/15/2017 04:11:35.688171640
154	-2.8670475483	3.7535393238	06/15/2017 04:11:36.688501960
155	-4.1093220711	3.6508698463	06/15/2017 04:11:37.688822580
156	-4.7801785469	3.5888543129	06/15/2017 04:11:38.689126660
157	-3.2580180168	3.6992483139	06/15/2017 04:11:39.689466520
158	-3.7784891129	3.6674256325	06/15/2017 04:11:40.689809400
159	-2.682975769	3.7483792305	06/15/2017 04:11:41.690149440
160	-3.7439074516	3.6735086441	06/15/2017 04:11:42.690516280
161	-1.6796278954	3.8261160851	06/15/2017 04:11:43.690861320
162	-5.0009961128	3.5833785534	06/15/2017 04:11:44.691135620
163	-0.96560293436	3.8730375767	06/15/2017 04:11:45.691443760
164	-5.4490895271	3.5526168346	06/15/2017 04:11:46.691727480
165	-3.4636733532	3.676422596	06/15/2017 04:11:47.692042260
166	-2.8802394867	3.7314860821	06/15/2017 04:11:48.692344460
167	-0.84289377928	3.8932356834	06/15/2017 04:11:49.692641640
168	-1.7128338814	3.8419759274	06/15/2017 04:11:50.692961320
169	-4.0124864578	3.6615371704	06/15/2017 04:11:51.693293040
170	-3.4140808582	3.6918206215	06/15/2017 04:11:52.693630120
171	-6.0268292427	3.490981102	06/15/2017 04:11:53.693912760
172	-5.3154025078	3.525649786	06/15/2017 04:11:54.694205440
173	-5.777162075	3.4892635345	06/15/2017 04:11:55.694482900
174	-6.3089704514	3.4411914349	06/15/2017 04:11:56.694729400
175	-6.078815937	3.4511935711	06/15/2017 04:11:57.694987200
176	-2.8124086857	3.7017621994	06/15/2017 04:11:58.695298280
177	-6.129070282	3.4652998447	06/15/2017 04:11:59.695569800
178	-1.844855547	3.7751824856	06/15/2017 04:12:00.695850280
179	-5.3511123657	3.5312209129	06/15/2017 04:12:01.696140420
180	-2.7491531372	3.7105855942	06/15/2017 04:12:02.696393160
181	-4.5211863518	3.5893638134	06/15/2017 04:12:03.696658960
182	-0.79163455963	3.8667056561	06/15/2017 04:12:04.696993200
183	-1.6922290325	3.8230261803	06/15/2017 04:12:05.697293440
184	-6.7425022125	3.4307281971	06/15/2017 04:12:06.697604300
185	-5.4265828133	3.4976205826	06/15/2017 04:12:07.697917800
186	-4.1356892586	3.5997471809	06/15/2017 04:12:08.698195900
187	-0.68602377176	3.8729643822	06/15/2017 04:12:09.698453700
188	-4.3249297142	3.6167066097	06/15/2017 04:12:10.698721480
189	-3.1809222698	3.6838920116	06/15/2017 04:12:11.699033120
190	-5.6689457893	3.4972743988	06/15/2017 04:12:12.699325400
191	-4.5065336227	3.5692265034	06/15/2017 04:12:13.699598460
192	-6.3764295578	3.4282505512	06/15/2017 04:12:14.699927560
193	-5.9560275078	3.4459049702	06/15/2017 04:12:15.700202780
194	-3.7641751766	3.6138527393	06/15/2017 04:12:16.700479920
195	-0.33791446686	3.8916397095	06/15/2017 04:12:17.701007700
196	-2.3198857307	3.7643721104	06/15/2017 04:12:18.701313960
197	-3.9114563465	3.6336996555	06/15/2017 04:12:19.701611200
198	-4.9065546989	3.5465147495	06/15/2017 04:12:20.701915480
199	-2.2531044483	3.7426056862	06/15/2017 04:12:21.702216360
200	-3.0828499794	3.6948232651	06/15/2017 04:12:22.702455820
201	-6.1115193367	3.4571216106	06/15/2017 04:12:23.702741400
202	-2.3401873112	3.7269272804	06/15/2017 04:12:24.703030880
203	-5.2581529617	3.5232374668	06/15/2017 04:12:25.703293020
204	-5.8667578697	3.4576408863	06/15/2017 04:12:26.703563400
205	-0.65363633633	3.8525624275	06/15/2017 04:12:27.703845220
